Profiel;Volgnr;Vraag;Optie A;Optie B;Optie C;Optie D;Juist antwoord;Juiste tekst
Elektro - Hulpmonteur;1;Welke kleur heeft de beschermingsaarde (PE) in een Nederlandse elektra-installatie?;Bruin;Blauw;Zwart;Geel/groen;D;Geel/groen
Elektro - Hulpmonteur;2;Op welke spanning werkt een standaard wandcontactdoos in Nederland?;24 Volt;400 Volt;230 Volt;110 Volt;C;230 Volt
Elektro - Hulpmonteur;3;Wat is de eerste actie ALTIJD voordat je werkt aan een elektrische installatie?;Handschoenen aandoen;Multimeter pakken;Collega waarschuwen;Spanning afschakelen, vergrendelen en spanningsloosheid controleren (LOTO);D;Spanning afschakelen, vergrendelen en spanningsloosheid controleren (LOTO)
Elektro - Hulpmonteur;4;Welk gereedschap gebruik je om de isolatie van een kabel te verwijderen?;Combinatietang;Hamer;Striptang;Schroevendraaier;C;Striptang
Elektro - Hulpmonteur;5;Wat betekent het IP-getal op elektrisch materiaal (bv. IP44)?;Vermogensklasse;Kabeldoorsnede;Spanningsklasse;Beschermingsgraad tegen aanraken, stof en water;D;Beschermingsgraad tegen aanraken, stof en water
Elektro - Hulpmonteur;6;Welk type kabel wordt gebruikt voor vaste installatie in een wand?;Verlengsnoer;UTP-kabel;H07RN-F;VMVK (NYM);D;VMVK (NYM)
Elektro - Hulpmonteur;7;Welke kleur heeft een nuldraad (N)?;Bruin;Geel/groen;Blauw;Zwart;C;Blauw
Elektro - Hulpmonteur;8;Welke kleur heeft de fasedraad in een moderne installatie?;Geel/groen;Wit;Bruin (of zwart/grijs in 3-fase);Blauw;C;Bruin (of zwart/grijs in 3-fase)
Elektro - Hulpmonteur;9;Wat is de functie van een aardlekschakelaar (ALS)?;Beveiligen tegen aardlekstromen om elektrocutie te voorkomen;Schakelen van verlichting;Beveiligen tegen overstroom;Spanningsregelaar;A;Beveiligen tegen aardlekstromen om elektrocutie te voorkomen
Elektro - Hulpmonteur;10;Hoe controleer je of een draad onder spanning staat?;Door te ruiken;Aan de kleur;Met een spanningstester of multimeter;Door aanraken;C;Met een spanningstester of multimeter
Elektro - Hulpmonteur;11;Wat moet je dragen tijdens werkzaamheden op de bouwplaats?;Sportschoenen;Alleen werkkleding;Gehoorbescherming alleen;Veiligheidshelm, veiligheidsschoenen S3 en zichtbaarheidskleding;D;Veiligheidshelm, veiligheidsschoenen S3 en zichtbaarheidskleding
Elektro - Hulpmonteur;12;Wat is een penspanningstester?;Een meetlint;Type zekering;Soort schroevendraaier;Klein apparaatje dat aangeeft of een geleider onder spanning staat;D;Klein apparaatje dat aangeeft of een geleider onder spanning staat
Elektro - Hulpmonteur;13;Wat is het maximum vermogen op een 16A groep bij 230V?;7360 W;1600 W;3680 W;16 W;C;3680 W
Elektro - Hulpmonteur;14;Hoe trek je het beste een kabel door een leeg installatiebuis?;Met de hand alleen;Met perslucht zonder beveiliging;Met een schroevendraaier;Met een trekveer (kabelvis) en eventueel trekolie;D;Met een trekveer (kabelvis) en eventueel trekolie
Elektro - Hulpmonteur;15;Op welke standaardhoogte komt een wandcontactdoos in een woonruimte?;Circa 30 cm boven afgewerkte vloer;Circa 100 cm;Circa 5 cm;Circa 180 cm;A;Circa 30 cm boven afgewerkte vloer
Elektro - Hulpmonteur;16;Welk gereedschap gebruik je om gaten in beton te boren voor installatiebuis?;Lijmtang;Klop-/breekboor (SDS);Decoupeerzaag;Houtboor;B;Klop-/breekboor (SDS)
Elektro - Hulpmonteur;17;Wat doe je als je beschadigd gereedschap aantreft?;Doorgebruiken tot eind dag;Doorgeven aan collega;Zelf snel repareren;Direct uit gebruik nemen, melden en laten keuren;D;Direct uit gebruik nemen, melden en laten keuren
Elektro - Hulpmonteur;18;Wat is een Wago lasklem?;Type zekering;Een meetinstrument;Een steekklem voor het verbinden van geleiders zonder schroef;Soort schakelaar;C;Een steekklem voor het verbinden van geleiders zonder schroef
Elektro - Hulpmonteur;19;Wat is het verschil tussen inbouw- en opbouwmateriaal?;Geen verschil;Opbouw heeft hogere spanning;Inbouw is voor buiten;Inbouw zit verzonken in de wand, opbouw zit op de wand;D;Inbouw zit verzonken in de wand, opbouw zit op de wand
Elektro - Hulpmonteur;20;Op dit project geldt een TOTAAL LASVERBOD. Hoe bevestig je dan kabelgoten aan de constructie?;Met schroef-/boutverbindingen of klemsystemen;Met TIG-lassen;Met MIG-lassen;Met thermiet;A;Met schroef-/boutverbindingen of klemsystemen
Elektro - Hulpmonteur;21;Waarom is er een lasverbod op dit project?;De gebouwen hebben houten vloeren — brandgevaar;Lassen is te duur;Lasrook is verboden;Geen geschikt lasapparaat aanwezig;A;De gebouwen hebben houten vloeren — brandgevaar
Elektro - Hulpmonteur;22;Wat doe je voordat je een gat door een muur boort?;Locatie van leidingen/draden controleren met detectie;Kleinere boor pakken;Vragen of een collega kijkt;Direct boren;A;Locatie van leidingen/draden controleren met detectie
Elektro - Hulpmonteur;23;Welke minimale aderdoorsnede gebruik je voor een verlichtingsgroep?;0,75 mm²;6 mm²;0,5 mm²;1,5 mm²;D;1,5 mm²
Elektro - Hulpmonteur;24;Welke minimale aderdoorsnede gebruik je voor een 16A wandcontactdoosgroep?;0,75 mm²;10 mm²;2,5 mm²;1,5 mm²;C;2,5 mm²
Elektro - Hulpmonteur;25;Wat is een aftakdoos (lasdoos)?;Type stekkerdoos;Doos waarin geleiders met elkaar verbonden worden;Een soort zekering;Voedingsbron;B;Doos waarin geleiders met elkaar verbonden worden
Elektro - Hulpmonteur;26;Wat doe je met restafval (kabelresten, verpakking) op de bouwplaats?;In de prullenbak;Laten liggen;Scheiden en in juiste afvalcontainer afvoeren;Mee naar huis;C;Scheiden en in juiste afvalcontainer afvoeren
Elektro - Hulpmonteur;27;Wat is een DALI-systeem?;Een schakelaar;Soort zekering;Type kabel;Een protocol voor digitale verlichtingssturing;D;Een protocol voor digitale verlichtingssturing
Elektro - Hulpmonteur;28;Welk symbool op een tekening staat voor een wandcontactdoos?;Driehoek;Vierkant met diagonaal;Cirkel met radiale lijnen;Kruis;C;Cirkel met radiale lijnen
Elektro - Hulpmonteur;29;Wat is het doel van een installatiebuis?;Versteviging van de wand;Waterleiding;Mechanische bescherming van kabels en latere vervanging mogelijk maken;Ventilatie;C;Mechanische bescherming van kabels en latere vervanging mogelijk maken
Elektro - Hulpmonteur;30;Hoe sluit je een enkelvoudige schakelaar aan op een lamp?;Fase via schakelaar naar lamp, nul direct naar lamp;Nul via schakelaar;Beide via schakelaar;Aarde via schakelaar;A;Fase via schakelaar naar lamp, nul direct naar lamp
Elektro - Hulpmonteur;31;Wat is een bewegingsmelder (PIR)?;Stopcontact met sensor;Sensor die beweging detecteert om verlichting te schakelen;Brandmelder;Type zekering;B;Sensor die beweging detecteert om verlichting te schakelen
Elektro - Hulpmonteur;32;Wat doe je als je een onveilige situatie ziet?;Stoppen, werkomgeving veiligstellen en direct melden aan de uitvoerder;Niets, dat is iemand anders zijn taak;Zelf oplossen;Doorwerken tot pauze;A;Stoppen, werkomgeving veiligstellen en direct melden aan de uitvoerder
Elektro - Hulpmonteur;33;Hoe communiceer je met een Engelstalige collega-leidinggevende?;In duidelijk Engels, met tekening of gebaren bij twijfel;Negeren;Alleen in het Nederlands;Via WhatsApp tekstvertaler tijdens werk;A;In duidelijk Engels, met tekening of gebaren bij twijfel
Elektro - Hulpmonteur;34;Wat is het verschil tussen klasse I en klasse II apparaten?;Klasse I gebruikt 110V;Geen verschil;Klasse I heeft aarding nodig, klasse II is dubbel geïsoleerd;Klasse II is voor industrie;C;Klasse I heeft aarding nodig, klasse II is dubbel geïsoleerd
Elektro - Hulpmonteur;35;Wanneer gebruik je een veiligheidsharnas?;Altijd;Nooit;Bij werken op hoogte > 2,5 m zonder andere randbeveiliging;Alleen op de begane grond;C;Bij werken op hoogte > 2,5 m zonder andere randbeveiliging
Elektro - Hulpmonteur;36;Wat moet je doen voor je een ladder gebruikt?;Direct beklimmen;Boven op de ladder springen;Op de bovenste tree gaan staan;Visueel keuren, juiste hoek (75°), stabiel opstellen;D;Visueel keuren, juiste hoek (75°), stabiel opstellen
Elektro - Hulpmonteur;37;Welke kabel mag je NIET gebruiken voor permanente vaste aanleg?;NYM (VMVK);H05VV-F (verlengsnoer-kwaliteit);XGB;NYAF in een buis;B;H05VV-F (verlengsnoer-kwaliteit)
Elektro - Hulpmonteur;38;Wat is een conduit (installatiebuis)?;Een buis waarin elektrische geleiders worden geïnstalleerd;Type stopcontact;Een soort kabel;Soort lamphouder;A;Een buis waarin elektrische geleiders worden geïnstalleerd
Elektro - Hulpmonteur;39;Wat is een schakelmateriaal-set?;Soort kabel;Combinatie van inbouwdoos, sokkel en afdekraam;Voedingsbox;Aftakdoos met deksel;B;Combinatie van inbouwdoos, sokkel en afdekraam
Elektro - Hulpmonteur;40;In een monumentaal gebouw (Gebouw J) — hoe leg je nieuwe leidingen aan?;Boren waar je wilt;Hak alle muren open;Buitenom langs gevel;Zo onzichtbaar mogelijk, met respect voor monumentale waarde, in overleg;D;Zo onzichtbaar mogelijk, met respect voor monumentale waarde, in overleg
Elektro - Hulpmonteur;41;Welke informatie staat op een kabelhaspel/rol?;Alleen gewicht;Alleen kleur;Type, doorsnede, lengte, fabrikant;Alleen prijs;C;Type, doorsnede, lengte, fabrikant
Elektro - Hulpmonteur;42;Wat is een kabelclip?;Snijgereedschap;Soort connector;Bevestigingsmiddel om een kabel netjes aan een ondergrond te bevestigen;Markeringssticker;C;Bevestigingsmiddel om een kabel netjes aan een ondergrond te bevestigen
Elektro - Hulpmonteur;43;Wat is de minimale buigstraal van een installatiekabel meestal?;2× kabeldiameter;Maakt niet uit;Zo strak mogelijk;Ca. 6× kabeldiameter;D;Ca. 6× kabeldiameter
Elektro - Hulpmonteur;44;Welk PBM hoort minimaal bij elektra-werk in een schakelkast?;Alleen schoenen;Veiligheidsbril, isolerende handschoenen waar nodig;Alleen helm;Geen;B;Veiligheidsbril, isolerende handschoenen waar nodig
Elektro - Hulpmonteur;45;Wat doe je met afgekeurde elektrische apparaten/snoeren?;Nog even gebruiken;Apart afvoeren, niet meer in gebruik nemen;Doorverkopen;Repareren met tape;B;Apart afvoeren, niet meer in gebruik nemen
Elektro - Hulpmonteur;46;Wat is potentiaalvereffening?;Stroomverdeling;Verbinden van metalen delen met de aarde om spanningsverschillen te voorkomen;Een bedraad veiligheidsslot;Spanningsregeling;B;Verbinden van metalen delen met de aarde om spanningsverschillen te voorkomen
Elektro - Hulpmonteur;47;Hoe ga je om met afval op de werkvloer aan het einde van de dag?;In een open vuur;Laten liggen;Op de gang zetten;Werkplek opruimen, scheiden en afvoeren;D;Werkplek opruimen, scheiden en afvoeren
Elektro - Hulpmonteur;48;Wat doe je als je gereedschap of materiaal kwijt bent?;Stilhouden;Zelf vervangen;Melden aan de chef-monteur of uitvoerder;Een ander pakken;C;Melden aan de chef-monteur of uitvoerder
Elektro - Hulpmonteur;49;Wat is het doel van toolboxmeetings?;Functioneringsgesprek;Korte veiligheids- en werkbespreking voorafgaand aan werk;Sociale momenten;Pauze;B;Korte veiligheids- en werkbespreking voorafgaand aan werk
Elektro - Hulpmonteur;50;Wat doe je als de spanning onverwacht uitvalt tijdens werkzaamheden?;Gewoon doorwerken;Zelf de hoofdschakelaar resetten;Pauze nemen;Werk staken, situatie controleren en chef-monteur informeren;D;Werk staken, situatie controleren en chef-monteur informeren
Elektro - Monteur;1;Welke norm regelt elektrische installaties in laagspanning in Nederland?;NEN 1006;NEN 3140;NEN 50110;NEN 1010;D;NEN 1010
Elektro - Monteur;2;Welke norm regelt het VEILIG werken aan en met elektrische installaties?;NEN 1010;NEN 2535;ISO 9001;NEN 3140;D;NEN 3140
Elektro - Monteur;3;Wat is de maximale lijnimpedantie (Zs) waarbij een 16A B-automaat in 0,4 s afschakelt?;≈ 2,87 Ω;Onbeperkt;≈ 0,2 Ω;≈ 23 Ω;A;≈ 2,87 Ω
Elektro - Monteur;4;Bij welke lekstroom moet een Type A aardlekschakelaar uiterlijk afschakelen?;30 mA in maximaal 300 ms;500 mA;1 A;100 mA;A;30 mA in maximaal 300 ms
Elektro - Monteur;5;Welk meetinstrument gebruik je voor isolatieweerstandmeting?;Frequentiemeter;Megger (isolatieweerstandsmeter);Voltmeter;Ampèretang;B;Megger (isolatieweerstandsmeter)
Elektro - Monteur;6;Wat is de minimale isolatieweerstand bij 500 V meetspanning op een nieuwe installatie volgens NEN 1010?;≥ 1 MΩ;≥ 100 Ω;≥ 1 kΩ;≥ 1 GΩ;A;≥ 1 MΩ
Elektro - Monteur;7;Wat is de eis voor de aardingsweerstand bij een TT-stelsel?;RA × IΔn ≤ 50 V (in praktijk meestal Ra ≤ 167 Ω bij 30 mA);Maakt niet uit;Altijd < 1 Ω;< 1000 Ω;A;RA × IΔn ≤ 50 V (in praktijk meestal Ra ≤ 167 Ω bij 30 mA)
Elektro - Monteur;8;Wat is selectiviteit in een installatie?;Alle automaten gaan tegelijk uit;Niets schakelt af;Alleen de hoofdaansluiting;Bij een fout schakelt alleen de dichtstbijzijnde beveiliging af;D;Bij een fout schakelt alleen de dichtstbijzijnde beveiliging af
Elektro - Monteur;9;Welke beveiliging gebruik je tegen overstroom én kortsluiting?;Magneetschakelaar;Filter;Aardlekschakelaar;Installatieautomaat (MCB);D;Installatieautomaat (MCB)
Elektro - Monteur;10;Wat is het verschil tussen een B-, C- en D-karakteristiek?;Verschillende prijs;Verschillende uitschakelstroom (3-5×, 5-10×, 10-20× In);Verschillende kleur;Verschillende spanning;B;Verschillende uitschakelstroom (3-5×, 5-10×, 10-20× In)
Elektro - Monteur;11;Hoeveel adergroepen heeft een TN-S systeem?;Alleen L en PE;Gecombineerde PEN;2 fasen, 1 N;L, N en aparte PE-geleider;D;L, N en aparte PE-geleider
Elektro - Monteur;12;Welk meetinstrument gebruik je om de continuïteit van een PE-geleider te controleren?;Frequentiemeter;Watt-meter;Lage-ohmmeter (PE-continuïteitsmeter);Spanningsmeter;C;Lage-ohmmeter (PE-continuïteitsmeter)
Elektro - Monteur;13;Wat is het belangrijkste keuringsdocument na oplevering van een nieuwe installatie?;Pakbon;E-mailbevestiging;Inspectierapport conform NEN 1010 / NTA 8220 met meetwaarden;Tekening;C;Inspectierapport conform NEN 1010 / NTA 8220 met meetwaarden
Elektro - Monteur;14;Welke kabel gebruik je bij brandwerende installaties (bv. noodverlichting)?;Functiebehoud-kabel (bv. (N)HXH FE180/E30);Standaard NYM;Coax;H05VV-F;A;Functiebehoud-kabel (bv. (N)HXH FE180/E30)
Elektro - Monteur;15;Hoe wordt een 3-fase voeding aangeduid?;Plus en min;L1, L2, L3 + N + PE;A, B, C;R, S, T + 0;B;L1, L2, L3 + N + PE
Elektro - Monteur;16;Wat is de spanning tussen twee fasen in een 400/230V net?;≈ 690 V;≈ 230 V;≈ 400 V;≈ 110 V;C;≈ 400 V
Elektro - Monteur;17;Hoe sluit je een 3-fase wandcontactdoos (CEE 16/5) correct aan?;Volgorde maakt niet uit;Alleen 3 fasen, geen N en PE;L1, L2, L3, N, PE conform IEC 60309-aansluitschema;Eerst aarden tijdens inschakelen;C;L1, L2, L3, N, PE conform IEC 60309-aansluitschema
Elektro - Monteur;18;Wat is een KWh-meter (kilowattuurmeter)?;Frequentiemeter;Spanningmeter;Aardingsmeter;Meter die elektrische energie registreert;D;Meter die elektrische energie registreert
Elektro - Monteur;19;Welk type kabel gebruik je voor onder-grond aanleg?;YMvKas of XMvK (grondkabel);NYAF;NYM;H07RN-F;A;YMvKas of XMvK (grondkabel)
Elektro - Monteur;20;Wat is een PEN-geleider?;Plusgeleider;Gecombineerde nul- en aardingsgeleider in TN-C systeem;Alleen aarde;Alleen nul;B;Gecombineerde nul- en aardingsgeleider in TN-C systeem
Elektro - Monteur;21;Hoe groot is de maximale spanningsval over een eindgroep volgens NEN 1010 (richtlijn)?;20%;10%;Geen limiet;3% bij verlichting / 5% bij overige;D;3% bij verlichting / 5% bij overige
Elektro - Monteur;22;Wat doe je als de gemeten Re (aardingsweerstand) te hoog is?;Negeren;Meer aardlekschakelaars;Aardelektrode uitbreiden of bijplaatsen, opnieuw meten;Lagere zekering plaatsen;C;Aardelektrode uitbreiden of bijplaatsen, opnieuw meten
Elektro - Monteur;23;Wat is het LOTO principe?;Een tekensoftware;Een schakelvolgorde;Lock-Out / Tag-Out: vergrendelen en labelen van energiebronnen;Soort kabel;C;Lock-Out / Tag-Out: vergrendelen en labelen van energiebronnen
Elektro - Monteur;24;Wat is het verschil tussen actieve en reactieve vermogen?;Reactief is verlies door kabel;"Actief (W) doet werk; reactief (var) bouwt magnetische velden";Actief is alleen DC;Geen verschil;B;"Actief (W) doet werk; reactief (var) bouwt magnetische velden"
Elektro - Monteur;25;Wat is een THD (Total Harmonic Distortion)?;Soort schakelaar;Maat voor harmonische vervorming op een net;Type vermogen;Soort meting van warmte;B;Maat voor harmonische vervorming op een net
Elektro - Monteur;26;Welk symbool ⊕ kan voor een elektromotor staan op een tekening?;Cirkel met S;Cirkel met R;Cirkel met T;Cirkel met M;D;Cirkel met M
Elektro - Monteur;27;Wat is de voorkeur voor het laggen van CAT6-data en sterkstroom?;Allemaal samen;Alleen via dezelfde kabel;Maakt niet uit;Gescheiden goten / minimale parallelle afstand om EMC-storing te voorkomen;D;Gescheiden goten / minimale parallelle afstand om EMC-storing te voorkomen
Elektro - Monteur;28;Wat is een NEN 3140-keuring?;Eenmalige nieuwbouwkeuring;Een examen;Een softwareversie;Periodieke inspectie van elektrische arbeidsmiddelen en installaties;D;Periodieke inspectie van elektrische arbeidsmiddelen en installaties
Elektro - Monteur;29;Welk gereedschap is verplicht VG-gekeurd voor elektra-werk?;Persoonlijke elektrische gereedschappen en meetapparatuur (jaarlijks of conform leverancier);Schroevendraaier zonder pen;Hamer;Niets;A;Persoonlijke elektrische gereedschappen en meetapparatuur (jaarlijks of conform leverancier)
Elektro - Monteur;30;Wat is de typische schakelvolgorde bij in bedrijf nemen van een groepenkast?;Hoogste eerst;Hoofdschakelaar → ALS → automaten van laag naar hoog vermogen;Niet relevant;Random;B;Hoofdschakelaar → ALS → automaten van laag naar hoog vermogen
Elektro - Monteur;31;Hoe los je een ongebalanceerde belasting in 3-fase op?;Hogere zekering;Zware belastingen herverdelen over de fases;Extra N-geleider;Niets, automaat lost het op;B;Zware belastingen herverdelen over de fases
Elektro - Monteur;32;Wat is een busbar?;Stroomrail (geleidende strip) in een verdeelinrichting;Soort buis;Type kabel;Soort lasapparaat;A;Stroomrail (geleidende strip) in een verdeelinrichting
Elektro - Monteur;33;Wat is de maximale belasting van een C16-automaat continu?;16 A;160 A;32 A;8 A;A;16 A
Elektro - Monteur;34;Wat is een functiebehoud-installatie?;Een glasvezelnet;UPS;Installatie die bij brand een bepaalde tijd blijft functioneren (bv. 30/60/90 min);Een verbeterde isolatie;C;Installatie die bij brand een bepaalde tijd blijft functioneren (bv. 30/60/90 min)
Elektro - Monteur;35;Wat is het verschil tussen bewaakte en onbewaakte noodverlichting?;Geen verschil;Onbewaakt is verboden;"Bewaakt is centraal gemonitord; onbewaakt is autonoom (eigen accu)";Bewaakt is duurder en standaard;C;"Bewaakt is centraal gemonitord; onbewaakt is autonoom (eigen accu)"
Elektro - Monteur;36;Welke beveiligingsklasse heeft een dubbel geïsoleerd apparaat?;Klasse I;Klasse IV;Klasse II (vierkant in vierkant);Klasse III;C;Klasse II (vierkant in vierkant)
Elektro - Monteur;37;Wat is een KNX-systeem?;Soort kabel;Open busprotocol voor gebouwautomatisering;Soort zekering;Een vrije applicatie;B;Open busprotocol voor gebouwautomatisering
Elektro - Monteur;38;Hoe meet je vermogensfactor (cos φ)?;Met een gewone voltmeter;Met multimeter Ω-stand;Met een ampèretang alleen;Met een netanalyser (Power Quality Analyser);D;Met een netanalyser (Power Quality Analyser)
Elektro - Monteur;39;Welke aarde gebruik je voor een aanraakgevoelige metalen wastafel in een vochtige ruimte?;Alleen N;Eigen aardpen;Aansluiten op de potentiaalvereffening van de ruimte;Geen aarde nodig;C;Aansluiten op de potentiaalvereffening van de ruimte
Elektro - Monteur;40;Wat is een SELV-circuit?;Een 400V circuit;Veilige extra-lage spanning, gescheiden van het net (≤ 50 V AC);Een hoogspanningscircuit;Een 230V circuit;B;Veilige extra-lage spanning, gescheiden van het net (≤ 50 V AC)
Elektro - Monteur;41;Hoe markeer je een spanningsloos gestelde groep?;Niet markeren;Met een vergrendelslot en label (LOTO) en daarna spanningsloos meten;Met stift;Met tape;B;Met een vergrendelslot en label (LOTO) en daarna spanningsloos meten
Elektro - Monteur;42;Hoe ga je om met asbestverdacht materiaal in oudbouw?;Inpakken en doorgaan;Met masker doorwerken;Zelf saneren;Werk stilleggen, melden bij uitvoerder, gespecialiseerd team inschakelen;D;Werk stilleggen, melden bij uitvoerder, gespecialiseerd team inschakelen
Elektro - Monteur;43;Wat is een sleufafdekking en wanneer pas je het toe?;Een isolerend tape;Een type kabel;Ter bescherming bij open kabel-/leidingsleuven, te plaatsen voorafgaand aan dichtmaken;Een veiligheidshelm;C;Ter bescherming bij open kabel-/leidingsleuven, te plaatsen voorafgaand aan dichtmaken
Elektro - Monteur;44;Wat moet je controleren bij een nieuwe wandcontactdoos vóór ingebruikname?;"Polariteit, aarding, spanning en goede klemkracht; visueel + meting";Alleen spanning;Alleen kleur;Niets;A;"Polariteit, aarding, spanning en goede klemkracht; visueel + meting"
Elektro - Monteur;45;Wat is een impedantielus-meting (Zs)?;Meting van fase-PE impedantie om uitschakelvoorwaarde te valideren;Lichtsterkte meting;Spanningsmeting alleen;Aardingsmeting alleen;A;Meting van fase-PE impedantie om uitschakelvoorwaarde te valideren
Elektro - Monteur;46;Hoe pak je werk aan in een monumentaal pand (bv. Gebouw J)?;Boren waar je wilt;Inventarisatie, onomkeerbare ingrepen vermijden, oplossingen in overleg met monumentenzorg;Slopen waar nodig;Snel werken zonder toestemming;B;Inventarisatie, onomkeerbare ingrepen vermijden, oplossingen in overleg met monumentenzorg
Elektro - Monteur;47;Wat is een PE-S installatieconcept?;Een meetapparaat;Een type voeding;Een soort schakelaar;Een TN-S systeem met aparte PE-geleider — voorkeur voor moderne installaties;D;Een TN-S systeem met aparte PE-geleider — voorkeur voor moderne installaties
Elektro - Monteur;48;Wat doe je als je metingen afwijken van de norm?;Doorgaan;Negeren;Andere meter pakken;Stoppen, oorzaak onderzoeken, herstellen en opnieuw meten — registreren;D;Stoppen, oorzaak onderzoeken, herstellen en opnieuw meten — registreren
Elektro - Monteur;49;Welk document overhandig je bij oplevering aan de opdrachtgever?;Alleen tekening;Alleen factuur;Inspectierapport, asbuilt-tekeningen en gebruikershandleiding;Niets;C;Inspectierapport, asbuilt-tekeningen en gebruikershandleiding
Elektro - Monteur;50;Hoe stem je dagelijks af met een Engelstalige collega-leidinggevende?;Alleen via WhatsApp;Niet;Met een tolk per uur;Korte dagstart in Engels, met tekeningen en checklists, en heldere afspraken;D;Korte dagstart in Engels, met tekeningen en checklists, en heldere afspraken
Elektro - Chef-monteur;1;Welke verantwoordelijkheid heeft een chef-monteur in NEN 3140?;Alleen administratie;Geen wettelijke rol;Aanwijzing als 'Vakbekwaam Persoon' (VP), met opdrachtbevoegdheid voor specifieke werkzaamheden;Alleen toezicht;C;Aanwijzing als 'Vakbekwaam Persoon' (VP), met opdrachtbevoegdheid voor specifieke werkzaamheden
Elektro - Chef-monteur;2;Wie is verantwoordelijk voor de werkvoorbereiding van zijn ploeg op locatie?;Hulpmonteur;De chef-monteur, in afstemming met uitvoerder en hoofduitvoerder;Calculatie-afdeling;Opdrachtgever;B;De chef-monteur, in afstemming met uitvoerder en hoofduitvoerder
Elektro - Chef-monteur;3;Wat doe je voordat een ploeg start in een nieuwe ruimte op dit project?;Direct beginnen;LMRA en toolbox, RIE doornemen, taakverdeling, controles op leidingen/asbest/monument;Materiaal pas later bestellen;Pauze;B;LMRA en toolbox, RIE doornemen, taakverdeling, controles op leidingen/asbest/monument
Elektro - Chef-monteur;4;Welke risico's signaleer je in een monumentaal pand (Gebouw J)?;Alleen kostenrisico;Schade aan monumentale onderdelen, brandgevaar, stof in publieksruimten;Alleen tijd;Geen;B;Schade aan monumentale onderdelen, brandgevaar, stof in publieksruimten
